,Entity,Code,Year,Emissions
0,Philippines,%Cem,1951,4.3
1,Philippines,%Cem,1952,3.77
2,Philippines,%Cem,1953,3.6
3,Philippines,%Cem,1954,2.86
4,Philippines,%Cem,1955,2.96
5,Philippines,%Cem,1956,3.43
6,Philippines,%Cem,1957,3.73
7,Philippines,%Cem,1958,4.18
8,Philippines,%Cem,1959,4.98
9,Philippines,%Cem,1960,4.71
10,Philippines,%Cem,1961,5.8
11,Philippines,%Cem,1962,4.61
12,Philippines,%Cem,1963,4.09
13,Philippines,%Cem,1964,4.62
14,Philippines,%Cem,1965,5.41
15,Philippines,%Cem,1966,4.94
16,Philippines,%Cem,1967,5.73
17,Philippines,%Cem,1968,5.71
18,Philippines,%Cem,1969,6.38
19,Philippines,%Cem,1970,4.89
20,Philippines,%Cem,1971,5.59
21,Philippines,%Cem,1972,5.44
22,Philippines,%Cem,1973,6.37
23,Philippines,%Cem,1974,5.67
24,Philippines,%Cem,1975,6.49
25,Philippines,%Cem,1976,6.3
26,Philippines,%Cem,1977,5.57
27,Philippines,%Cem,1978,5.61
28,Philippines,%Cem,1979,4.98
29,Philippines,%Cem,1980,5.78
30,Philippines,%Cem,1981,5.59
31,Philippines,%Cem,1982,5.85
32,Philippines,%Cem,1983,5.78
33,Philippines,%Cem,1984,5.46
34,Philippines,%Cem,1985,5.05
35,Philippines,%Cem,1986,5.54
36,Philippines,%Cem,1987,4.6
37,Philippines,%Cem,1988,4.87
38,Philippines,%Cem,1989,4.12
39,Philippines,%Cem,1990,6.75
40,Philippines,%Cem,1991,6.95
41,Philippines,%Cem,1992,6.01
42,Philippines,%Cem,1993,7.06
43,Philippines,%Cem,1994,7.65
44,Philippines,%Cem,1995,7.58
45,Philippines,%Cem,1996,8.71
46,Philippines,%Cem,1997,8.96
47,Philippines,%Cem,1998,8.05
48,Philippines,%Cem,1999,7.82
49,Philippines,%Cem,2000,6.99
50,Philippines,%Cem,2001,5.15
51,Philippines,%Cem,2002,7.92
52,Philippines,%Cem,2003,7.63
53,Philippines,%Cem,2004,7.44
54,Philippines,%Cem,2005,8.49
55,Philippines,%Cem,2006,7.34
56,Philippines,%Cem,2007,7.29
57,Philippines,%Cem,2008,6.69
58,Philippines,%Cem,2009,7.41
59,Philippines,%Cem,2010,7.3
60,Philippines,%Cem,2011,7.3
61,Philippines,%Cem,2012,8.14
62,Philippines,%Cem,2013,8.03
63,Philippines,%Cem,2014,8.04
64,Philippines,%Cem,2015,8.19
65,Philippines,%Cem,2016,7.81
66,Philippines,%Cem,2017,7.36
67,Philippines,%Cem,2018,7.69
68,Philippines,%Cem,2019,8.04
69,Philippines,%Cem,2020,8.61
70,Philippines,%Cem,2021,8.09
71,Philippines,%Coa,1951,4.85
72,Philippines,%Coa,1952,3.62
73,Philippines,%Coa,1953,4.36
74,Philippines,%Coa,1954,2.54
75,Philippines,%Coa,1955,2.32
76,Philippines,%Coa,1956,2.87
77,Philippines,%Coa,1957,3.21
78,Philippines,%Coa,1958,1.74
79,Philippines,%Coa,1959,2.33
80,Philippines,%Coa,1960,2.16
81,Philippines,%Coa,1961,2.06
82,Philippines,%Coa,1962,2.06
83,Philippines,%Coa,1963,1.76
84,Philippines,%Coa,1964,1.17
85,Philippines,%Coa,1965,1.08
86,Philippines,%Coa,1966,0.84
87,Philippines,%Coa,1967,0.58
88,Philippines,%Coa,1968,0.4
89,Philippines,%Coa,1969,0.34
90,Philippines,%Coa,1970,0.34
91,Philippines,%Coa,1971,0.28
92,Philippines,%Coa,1972,0.29
93,Philippines,%Coa,1973,0.2
94,Philippines,%Coa,1974,0.37
95,Philippines,%Coa,1975,0.46
96,Philippines,%Coa,1976,0.49
97,Philippines,%Coa,1977,1.97
98,Philippines,%Coa,1978,2.36
99,Philippines,%Coa,1979,2.89
100,Philippines,%Coa,1980,3.66
101,Philippines,%Coa,1981,3.75
102,Philippines,%Coa,1982,4.62
103,Philippines,%Coa,1983,6.24
104,Philippines,%Coa,1984,11.55
105,Philippines,%Coa,1985,13.04
106,Philippines,%Coa,1986,10.1
107,Philippines,%Coa,1987,10.63
108,Philippines,%Coa,1988,10.5
109,Philippines,%Coa,1989,8.56
110,Philippines,%Coa,1990,8.72
111,Philippines,%Coa,1991,9.5
112,Philippines,%Coa,1992,8.75
113,Philippines,%Coa,1993,8.57
114,Philippines,%Coa,1994,7.72
115,Philippines,%Coa,1995,7.83
116,Philippines,%Coa,1996,9.64
117,Philippines,%Coa,1997,9.69
118,Philippines,%Coa,1998,10.05
119,Philippines,%Coa,1999,17.42
120,Philippines,%Coa,2000,22.53
121,Philippines,%Coa,2001,23.28
122,Philippines,%Coa,2002,20.38
123,Philippines,%Coa,2003,21.16
124,Philippines,%Coa,2004,22.12
125,Philippines,%Coa,2005,25.62
126,Philippines,%Coa,2006,26.73
127,Philippines,%Coa,2007,30.93
128,Philippines,%Coa,2008,32.93
129,Philippines,%Coa,2009,32.24
130,Philippines,%Coa,2010,34.03
131,Philippines,%Coa,2011,37.04
132,Philippines,%Coa,2012,36.61
133,Philippines,%Coa,2013,41.68
134,Philippines,%Coa,2014,42.1
135,Philippines,%Coa,2015,41.28
136,Philippines,%Coa,2016,42.01
137,Philippines,%Coa,2017,45.6
138,Philippines,%Coa,2018,45.76
139,Philippines,%Coa,2019,47.88
140,Philippines,%Coa,2020,50.95
141,Philippines,%Coa,2021,51.93
142,Philippines,%Gas,1951,0
143,Philippines,%Gas,1952,0
144,Philippines,%Gas,1953,0
145,Philippines,%Gas,1954,0
146,Philippines,%Gas,1955,0
147,Philippines,%Gas,1956,0
148,Philippines,%Gas,1957,0
149,Philippines,%Gas,1958,0
150,Philippines,%Gas,1959,0
151,Philippines,%Gas,1960,0
152,Philippines,%Gas,1961,0
153,Philippines,%Gas,1962,0
154,Philippines,%Gas,1963,0
155,Philippines,%Gas,1964,0
156,Philippines,%Gas,1965,0
157,Philippines,%Gas,1966,0
158,Philippines,%Gas,1967,0
159,Philippines,%Gas,1968,0
160,Philippines,%Gas,1969,0
161,Philippines,%Gas,1970,0
162,Philippines,%Gas,1971,0
163,Philippines,%Gas,1972,0
164,Philippines,%Gas,1973,0
165,Philippines,%Gas,1974,0
166,Philippines,%Gas,1975,0
167,Philippines,%Gas,1976,0
168,Philippines,%Gas,1977,0
169,Philippines,%Gas,1978,0
170,Philippines,%Gas,1979,0
171,Philippines,%Gas,1980,0
172,Philippines,%Gas,1981,0
173,Philippines,%Gas,1982,0
174,Philippines,%Gas,1983,0
175,Philippines,%Gas,1984,0
176,Philippines,%Gas,1985,0
177,Philippines,%Gas,1986,0
178,Philippines,%Gas,1987,0
179,Philippines,%Gas,1988,0
180,Philippines,%Gas,1989,0
181,Philippines,%Gas,1990,0
182,Philippines,%Gas,1991,0
183,Philippines,%Gas,1992,0
184,Philippines,%Gas,1993,0
185,Philippines,%Gas,1994,0.02
186,Philippines,%Gas,1995,0.02
187,Philippines,%Gas,1996,0.03
188,Philippines,%Gas,1997,0.02
189,Philippines,%Gas,1998,0.03
190,Philippines,%Gas,1999,0.02
191,Philippines,%Gas,2000,0.03
192,Philippines,%Gas,2001,0.37
193,Philippines,%Gas,2002,4.65
194,Philippines,%Gas,2003,7.09
195,Philippines,%Gas,2004,6.54
196,Philippines,%Gas,2005,8.6
197,Philippines,%Gas,2006,7.83
198,Philippines,%Gas,2007,10
199,Philippines,%Gas,2008,9.64
200,Philippines,%Gas,2009,9.81
201,Philippines,%Gas,2010,8.52
202,Philippines,%Gas,2011,9.11
203,Philippines,%Gas,2012,8.25
204,Philippines,%Gas,2013,7.02
205,Philippines,%Gas,2014,6.98
206,Philippines,%Gas,2015,5.92
207,Philippines,%Gas,2016,6.23
208,Philippines,%Gas,2017,5.57
209,Philippines,%Gas,2018,5.93
210,Philippines,%Gas,2019,5.83
211,Philippines,%Gas,2020,5.69
212,Philippines,%Gas,2021,4.57
213,Philippines,%Oil,1951,90.86
214,Philippines,%Oil,1952,92.61
215,Philippines,%Oil,1953,92.03
216,Philippines,%Oil,1954,94.59
217,Philippines,%Oil,1955,94.71
